datetime,open,high,low,close,volume
2023-02-24 04:00:00,134.772,134.815,134.568,134.591,36969
2023-02-24 08:00:00,134.591,135.248,134.504,135.138,51262
2023-02-24 12:00:00,135.137,135.982,135.066,135.871,57253
2023-02-24 16:00:00,135.871,136.47,135.871,136.443,71731
2023-02-24 20:00:00,136.444,136.511,136.339,136.482,31355
2023-02-27 00:00:00,136.403,136.553,136.087,136.127,27562
2023-02-27 04:00:00,136.134,136.442,135.995,136.343,28581
2023-02-27 08:00:00,136.343,136.43,135.992,136.38,48205
2023-02-27 12:00:00,136.381,136.436,135.923,136.062,44483
2023-02-27 16:00:00,136.062,136.294,135.91,136.176,51665
2023-02-27 20:00:00,136.174,136.264,136.069,136.152,25764
2023-02-28 00:00:00,136.152,136.348,136.052,136.198,29323
2023-02-28 04:00:00,136.198,136.365,136.147,136.303,26425
2023-02-28 08:00:00,136.304,136.841,136.209,136.727,50980
2023-02-28 12:00:00,136.728,136.901,136.593,136.7,43423
2023-02-28 16:00:00,136.701,136.913,135.731,135.799,67006
2023-02-28 20:00:00,135.799,136.246,135.777,136.137,33551
2023-03-01 00:00:00,136.137,136.461,136.097,136.284,33312
2023-03-01 04:00:00,136.283,136.428,136.27,136.416,28141
2023-03-01 08:00:00,136.415,136.435,135.605,135.833,63385
2023-03-01 12:00:00,135.833,135.917,135.249,135.738,60342
2023-03-01 16:00:00,135.738,136.32,135.687,135.936,66515
2023-03-01 20:00:00,135.936,136.256,135.934,136.145,30837
2023-03-02 00:00:00,136.141,136.441,136.013,136.314,33730
2023-03-02 04:00:00,136.314,136.671,136.186,136.625,33524
2023-03-02 08:00:00,136.625,136.866,136.228,136.46,59846
2023-03-02 12:00:00,136.459,137.091,136.435,137.044,62859
2023-03-02 16:00:00,137.045,137.054,136.543,136.936,59911
2023-03-02 20:00:00,136.937,136.972,136.587,136.753,41425
2023-03-03 00:00:00,136.749,136.763,136.491,136.617,33183
2023-03-03 04:00:00,136.618,136.711,136.494,136.652,26229
2023-03-03 08:00:00,136.652,136.652,136.11,136.146,51785
2023-03-03 12:00:00,136.146,136.329,135.816,135.905,50595
2023-03-03 16:00:00,135.906,136.411,135.799,136.102,64273
2023-03-03 20:00:00,136.102,136.132,135.738,135.813,26396
2023-03-06 00:00:00,135.953,136.045,135.614,135.767,49492
2023-03-06 04:00:00,135.766,135.882,135.356,135.776,31682
